id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,0,9,SimpleCase,10.23313677572109,M.A,40,1100,0
2,LINK,1,8,SimpleCase,3.2330697199493654,M.A,40,1100,1
3,LINK,2,10,SimpleCase,12.233110817019025,M.A,40,1100,2
4,LINK,3,11,SimpleCase,3.2330708903044236,M.A,40,1100,3
5,LINK,4,14,SimpleCase,10.233129922138534,M.A,40,1100,4
6,LINK,5,17,SimpleCase,10.233068558666826,M.A,40,1100,5
7,LINK,6,17,SimpleCase,5.233068558666827,M.A,40,1100,6
7,LINK,6,17,SimpleCase,5.233068558666827,M.A,45.23306855866683,1100,4
2,LINK,8,7,SimpleCase,3.0981655069582503,M.B,45.465839829003784,750,5
4,LINK,11,7,SimpleCase,7.09816550695825,M.B,45.465840999358846,750,6
7,LINK,17,7,SimpleCase,1.0981655069582505,M.B,47.46583866772125,750,7
7,LINK,17,7,SimpleCase,1.0981655069582505,M.B,48.5640041746795,750,7
2,LINK,17,7,SimpleCase,1.0981655069582505,M.B,48.56400533596204,750,7
7,LINK,17,7,SimpleCase,1.0981655069582505,M.B,49.66216968163776,750,7
2,LINK,17,7,SimpleCase,1.0981655069582505,M.B,50.76033518859601,750,3
7,LINK,17,7,SimpleCase,1.0981655069582505,M.B,51.85850069555426,750,3
6,LINK,17,7,SimpleCase,1.0981655069582505,M.B,52.46583866772125,750,3
5,LINK,14,7,SimpleCase,8.098165506958251,M.B,52.46590003119295,750,4
1,LINK,9,7,SimpleCase,9.098165506958251,M.B,52.465906884775514,750,5
4,LINK,9,7,SimpleCase,9.098165506958251,M.B,52.5640065063171,750,5
2,LINK,9,7,SimpleCase,9.098165506958251,M.B,52.956666202512515,750,5
7,LINK,9,7,SimpleCase,9.098165506958251,M.B,54.05483170947077,750,5
3,LINK,10,7,SimpleCase,8.098165506958251,M.B,54.465880926073446,750,6
7,LINK,17,7,SimpleCase,1.0981655069582505,M.B,54.69860877677567,750,7
6,LINK,17,7,SimpleCase,1.0981655069582505,M.B,55.15299721642902,750,7
7,LINK,17,7,SimpleCase,1.0981655069582505,M.B,56.251162723387274,750,7
6,LINK,17,7,SimpleCase,1.0981655069582505,M.B,57.34932823034553,750,7
7,LINK,17,7,SimpleCase,1.0981655069582505,M.B,58.44749373730378,750,7
6,LINK,17,7,SimpleCase,1.0981655069582505,M.B,59.54565924426203,750,7
5,LINK,17,7,SimpleCase,1.0981655069582505,M.B,60.564065538151205,750,7
7,LINK,17,7,SimpleCase,1.0981655069582505,M.B,60.643824751220286,750,7
1,LINK,17,7,SimpleCase,1.0981655069582505,M.B,61.56407239173377,750,7
6,LINK,17,7,SimpleCase,1.0981655069582505,M.B,61.74199025817854,750,7
3,LINK,17,7,SimpleCase,1.0981655069582505,M.B,62.5640464330317,750,7
5,LINK,17,7,SimpleCase,1.0981655069582505,M.B,62.84015576513679,750,7
7,LINK,17,7,SimpleCase,1.0981655069582505,M.B,63.938321272095045,750,7
1,LINK,17,7,SimpleCase,1.0981655069582505,M.B,65.03648677905329,750,7
6,LINK,17,7,SimpleCase,1.0981655069582505,M.B,66.13465228601154,750,7
3,LINK,17,7,SimpleCase,1.0981655069582505,M.B,67.2328177929698,750,7
5,LINK,17,7,SimpleCase,1.0981655069582505,M.B,68.33098329992805,750,7
7,LINK,17,7,SimpleCase,1.0981655069582505,M.B,69.4291488068863,750,7
1,LINK,17,7,SimpleCase,1.0981655069582505,M.B,70.52731431384456,750,7
4,LINK,17,7,SimpleCase,1.0981655069582505,M.B,70.66223789869201,750,7
6,LINK,17,7,SimpleCase,1.0981655069582505,M.B,71.62547982080281,750,7
3,LINK,17,7,SimpleCase,1.0981655069582505,M.B,72.72364532776106,750,7
5,LINK,17,7,SimpleCase,1.0981655069582505,M.B,73.82181083471932,750,7
7,LINK,17,7,SimpleCase,1.0981655069582505,M.B,74.91997634167757,750,7
1,LINK,17,7,SimpleCase,1.0981655069582505,M.B,76.01814184863582,750,7
4,LINK,17,7,SimpleCase,1.0981655069582505,M.B,77.11630735559407,750,7
6,LINK,17,7,SimpleCase,1.0981655069582505,M.B,78.21447286255233,750,7
3,LINK,17,7,SimpleCase,1.0981655069582505,M.B,79.31263836951058,750,7
2,LINK,17,7,SimpleCase,1.0981655069582505,M.B,79.76040340565027,750,7
8,LINK,0,10,SimpleCase,5.232790421575531,M.A,80,1100,8
9,LINK,1,12,SimpleCase,9.232671492989587,M.A,80,1100,9
10,LINK,2,13,SimpleCase,5.23253035787077,M.A,80,1100,10
11,LINK,3,11,SimpleCase,3.232565524570059,M.A,80,1100,11
12,LINK,4,14,SimpleCase,10.232537245991,M.A,80,1100,12
13,LINK,5,17,SimpleCase,10.232554646559182,M.A,80,1100,13
14,LINK,6,17,SimpleCase,5.232554646559182,M.A,80,1100,14
14,LINK,6,17,SimpleCase,5.232554646559182,M.A,85.23255464655918,1100,7
11,LINK,11,7,SimpleCase,7.09816550695825,M.B,85.46480198931106,750,7
3,LINK,11,7,SimpleCase,7.09816550695825,M.B,85.9016314112601,750,7
2,LINK,11,7,SimpleCase,7.09816550695825,M.B,86.99979691821835,750,7
10,LINK,13,7,SimpleCase,4.09816550695825,M.B,87.46476682261176,750,8
14,LINK,17,7,SimpleCase,1.0981655069582505,M.B,87.46479111130017,750,9
8,LINK,10,7,SimpleCase,8.098165506958251,M.B,87.46502688631652,750,10
14,LINK,10,7,SimpleCase,8.098165506958251,M.B,88.56295661825843,750,10
7,LINK,10,7,SimpleCase,8.098165506958251,M.B,88.85856891260852,750,10
